MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20160705,CONUS,55.76,44.24,17.77,6.03,2.51,1.11,2016-07-05,2016-07-11,1
20160628,CONUS,56.61,43.39,16.18,5.43,2.36,1.11,2016-06-28,2016-07-04,1
20160621,CONUS,58.77,41.23,14.80,5.05,2.26,1.11,2016-06-21,2016-06-27,1
20160614,CONUS,60.89,39.11,13.77,4.76,2.26,1.11,2016-06-14,2016-06-20,1
20160607,CONUS,65.17,34.83,13.24,4.48,2.45,1.11,2016-06-07,2016-06-13,1
20160531,CONUS,68.18,31.82,12.73,4.18,2.46,1.11,2016-05-31,2016-06-06,1
20160524,CONUS,68.84,31.16,13.61,4.33,2.46,1.11,2016-05-24,2016-05-30,1
20160517,CONUS,71.03,28.97,13.88,4.79,2.46,1.11,2016-05-17,2016-05-23,1
20160510,CONUS,69.58,30.42,14.59,5.29,3.37,1.11,2016-05-10,2016-05-16,1
20160503,CONUS,66.10,33.90,14.56,5.46,3.44,1.11,2016-05-03,2016-05-09,1
20160426,CONUS,60.36,39.64,15.38,5.89,3.44,1.11,2016-04-26,2016-05-02,1
20160419,CONUS,60.72,39.28,15.44,5.94,3.44,1.11,2016-04-19,2016-04-25,1
20160412,CONUS,60.80,39.20,17.75,6.10,3.76,1.71,2016-04-12,2016-04-18,1
20160405,CONUS,62.13,37.87,16.71,5.95,3.76,1.71,2016-04-05,2016-04-11,1
20160329,CONUS,61.10,38.90,15.09,5.85,3.76,1.87,2016-03-29,2016-04-04,1
20160322,CONUS,65.25,34.75,14.29,6.07,3.76,1.87,2016-03-22,2016-03-28,1
20160315,CONUS,66.50,33.50,12.41,6.46,3.76,1.87,2016-03-15,2016-03-21,1
20160308,CONUS,64.59,35.41,12.43,7.41,4.05,2.19,2016-03-08,2016-03-14,1
20160301,CONUS,68.02,31.98,14.30,7.77,4.05,2.19,2016-03-01,2016-03-07,1
20160223,CONUS,70.10,29.90,14.62,7.77,4.05,2.19,2016-02-23,2016-02-29,1
20160216,CONUS,67.75,32.25,15.05,7.73,4.08,2.19,2016-02-16,2016-02-22,1
20160209,CONUS,70.81,29.19,14.97,7.85,4.25,2.19,2016-02-09,2016-02-15,1
20160202,CONUS,71.08,28.92,15.48,8.44,4.61,2.25,2016-02-02,2016-02-08,1
